Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
360133,GRANDVIEW HOSPITAL & MEDICAL CENTER,405 GRAND AVENUE,Dayton,OH,45405,MONTGOMERY,3 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,15,17,"405 GRAND AVENUE
Dayton, OH 45405
(39.768985, -84.202998)"
390081,DELAWARE COUNTY MEMORIAL HOSPITAL,501 NORTH LANSDOWNE AVE,Drexel Hill,PA,19026,DELAWARE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,5 out of 10,2 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,8,13,"501 NORTH LANSDOWNE AVE
Drexel Hill, PA 19026
(39.953877, -75.283921)"
500053,KENNEWICK GENERAL HOSPITAL,900 SOUTH AUBURN STREET,Kennewick,WA,99336,BENTON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,9,17,"900 SOUTH AUBURN STREET
Kennewick, WA 99336
(46.199447, -119.118458)"
390084,SUNBURY COMMUNITY HOSPITAL,350 NORTH 11TH STREET,Sunbury,PA,17801,NORTHUMBERLAND,5 out of 10,5 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,7 out of 10,8 out of 9,8 out of 10,5 out of 10,4 out of 9,5 out of 10,39,20,"350 NORTH 11TH STREET
Sunbury, PA 17801
(40.862314, -76.778131)"
390323,ADVANCED SURGICAL HOSPITAL,100 TRICH DRIVE,Washington,PA,15301,WASHINGTON,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,80,20,"100 TRICH DRIVE
Washington, PA 15301
(40.155658, -80.279095)"
450697,SOUTHWEST GENERAL HOSPITAL,7400 BARLITE BLVD,San Antonio,TX,78224,BEXAR,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,8,"7400 BARLITE BLVD
San Antonio, TX 78224
(29.352988, -98.546589)"
450804,TEXAS ORTHOPEDIC HOSPITAL,7401 SOUTH MAIN STREET,Houston,TX,77030,HARRIS,5 out of 10,6 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,5 out of 9,5 out of 10,7 out of 10,6 out of 9,7 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,1 out of 9,3 out of 10,8 out of 10,6 out of 9,8 out of 10,8 out of 10,7 out of 9,8 out of 10,49,20,"7401 SOUTH MAIN STREET
Houston, TX 77030
(29.70034, -95.409656)"
450749,EAST TEXAS MEDICAL CENTER TRINITY,317 PROSPECT DR/PO BOX 3169,Trinity,TX,75862,TRINITY,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"317 PROSPECT DR/PO BOX 3169
Trinity, TX 75862
(30.956727, -95.381622)"
450229,HENDRICK MEDICAL CENTER,1900 PINE,Abilene,TX,79601,TAYLOR,3 out of 10,0 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,17,18,"1900 PINE
Abilene, TX 79601
(32.471542, -99.73115)"
500025,SWEDISH MEDICAL CENTER / CHERRY HILL,500 17TH AVENUE,Seattle,WA,98122,KING,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,13,14,"500 17TH AVENUE
Seattle, WA 98122
(47.606225, -122.310249)"
500007,ISLAND HOSPITAL,1211  24TH STREET,Anacortes,WA,98221,SKAGIT,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,16,19,"1211 24TH STREET
Anacortes, WA 98221
(48.502827, -122.614368)"
360150,SUMMA WESTERN RESERVE HOSPITAL,1900 23RD STREET,Cuyahoga Falls,OH,44223,SUMMIT,8 out of 10,7 out of 9,8 out of 10,4 out of 10,4 out of 9,4 out of 10,5 out of 10,2 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,9 out of 10,9 out of 9,9 out of 10,5 out of 10,2 out of 9,5 out of 10,36,20,"1900 23RD STREET
Cuyahoga Falls, OH 44223
(41.132948, -81.509907)"
500041,PEACHEALTH ST JOHN MEDICAL CENTER,1615 DELAWARE STREET,Longview,WA,98632,COWLITZ,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,18,15,"1615 DELAWARE STREET
Longview, WA 98632
(46.130992, -122.941192)"
390263,LEHIGH VALLEY HOSPITAL - MUHLENBERG,2545 SCHOENERSVILLE ROAD,Bethlehem,PA,18017,LEHIGH,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,2 out of 9,4 out of 10,15,17,"2545 SCHOENERSVILLE ROAD
Bethlehem, PA 18017
(40.646389, -75.406947)"
380090,BAY AREA HOSPITAL,1775 THOMPSON ROAD,Coos Bay,OR,97420,COOS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,7 out of 10,3 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,11,16,"1775 THOMPSON ROAD
Coos Bay, OR 97420
(43.385854, -124.232457)"
450840,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,1105 CENTRAL EXPRESSWAY NORTH,Allen,TX,75013,COLLIN,1 out of 10,0 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,16,16,"1105 CENTRAL EXPRESSWAY NORTH
Allen, TX 75013
(33.115433, -96.671504)"
440081,LECONTE MEDICAL CENTER,742 MIDDLECREEK ROAD,Sevierville,TN,37862,CUMBERLAND,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,8,16,"742 MIDDLECREEK ROAD
Sevierville, TN 37862
(35.853855, -83.536965)"
520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,Waukesha,WI,53188,WAUKESHA,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,19,17,"725 AMERICAN AVE
Waukesha, WI 53188
(43.011279, -88.245496)"
510024,MONONGALIA COUNTY GENERAL HOSPITAL,1200 JD ANDERSON DR,Morgantown,WV,26505,MONONGALIA,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,5 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,25,19,"1200 JD ANDERSON DR
Morgantown, WV 26505
(39.66262, -79.94639)"
390194,GNADEN HUETTEN MEMORIAL HOSPITAL,211 NORTH 12TH STREET,Lehighton,PA,18235,CARBON,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,9,15,"211 NORTH 12TH STREET
Lehighton, PA 18235
(40.832307, -75.726764)"
420065,BON SECOURS-ST FRANCIS XAVIER HOSPITAL,2095 HENRY TECKLENBURG DRIVE,Charleston,SC,29401,CHARLESTON,9 out of 10,8 out of 9,9 out of 10,8 out of 10,7 out of 9,8 out of 10,7 out of 10,5 out of 9,7 out of 10,8 out of 10,7 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,1 out of 10,0 out of 9,1 out of 10,8 out of 10,7 out of 9,8 out of 10,5 out of 10,1 out of 9,5 out of 10,56,20,"2095 HENRY TECKLENBURG DRIVE
Charleston, SC 29401
(32.811029, -80.042853)"
370083,PUSHMATAHA COUNTY TOWN OF ANTLERS HOSPITAL,510 EAST MAIN STREET,Antlers,OK,74523,PUSHMATAHA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"510 EAST MAIN STREET
Antlers, OK 74523
(34.231717, -95.615603)"
490079,MEMORIAL HOSPITAL OF MARTINSVILLE & HENRY COUNTY,320 HOSPITAL DRIVE,Martinsville,VA,24115,HENRY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,6,11,"320 HOSPITAL DRIVE
Martinsville, VA 24115
(36.699239, -79.865836)"
450864,TEXAS SPINE AND JOINT HOSPITAL,1814 ROSELAND BOULEVARD,Tyler,TX,75701,SMITH,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20,"1814 ROSELAND BOULEVARD
Tyler, TX 75701
(32.329279, -95.299466)"
460030,ASHLEY REGIONAL MEDICAL CENTER,150 WEST 100 NORTH,Vernal,UT,84078,UINTAH,2 out of 10,3 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,6 out of 10,5 out of 9,6 out of 10,1 out of 10,1 out of 9,1 out of 10,27,20,"150 WEST 100 NORTH
Vernal, UT 84078
(40.457127, -109.531374)"
370206,OKLAHOMA SPINE HOSPITAL,14101 PARKWAY COMMONS DRIVE,Oklahoma City,OK,73134,OKLAHOMA,9 out of 10,8 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,4 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,74,20,"14101 PARKWAY COMMONS DRIVE
Oklahoma City, OK 73134
(35.614137, -97.582124)"
380082,PROVIDENCE MILWAUKIE HOSPITAL,10150 SE 32ND AVENUE,Milwaukie,OR,97222,CLACKAMAS,1 out of 10,0 out of 9,1 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,8 out of 9,8 out of 10,2 out of 10,0 out of 9,2 out of 10,19,15,"10150 SE 32ND AVENUE
Milwaukie, OR 97222
(45.449714, -122.629791)"
460021,DIXIE REGIONAL MEDICAL CENTER,1380 EAST MEDICAL CENTER DRIVE,St George,UT,84790,WASHINGTON,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,9 out of 10,9 out of 9,9 out of 10,6 out of 10,2 out of 9,6 out of 10,24,20,"1380 EAST MEDICAL CENTER DRIVE
St George, UT 84790
(37.09985, -113.55333)"
520083,ST MARYS HOSPITAL,700 SOUTH PARK ST,Madison,WI,53715,DANE,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,2 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,9 out of 10,0 out of 9,9 out of 10,6 out of 10,2 out of 9,6 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,46,20,"700 SOUTH PARK ST
Madison, WI 53715
(43.059474, -89.400805)"
360270,MERCY HOSPITAL OF DEFIANCE,1404 EAST SECOND STREET,Defiance,OH,43512,DEFIANCE,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,8 out of 9,9 out of 10,7 out of 10,4 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,61,20,"1404 EAST SECOND STREET
Defiance, OH 43512
(41.282693, -84.339467)"
450580,HOUSTON COUNTY MEDICAL CENTER,1100 LOOP 304 EAST,Crockett,TX,75835,HOUSTON,5 out of 10,5 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,2 out of 9,2 out of 10,8 out of 10,8 out of 9,8 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,35,14,"1100 LOOP 304 EAST
Crockett, TX 75835
(31.324418, -95.437454)"
450747,PALESTINE REGIONAL MEDICAL CENTER,2900 S LOOP 256,Palestine,TX,75801,ANDERSON,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7,15,"2900 S LOOP 256
Palestine, TX 75801
(31.733374, -95.625307)"
520066,MERCY HEALTH SYSTEM CORP,1000 MINERAL POINT AVE,Janesville,WI,53547,ROCK,3 out of 10,0 out of 9,3 out of 10,1 out of 10,3 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,8 out of 10,8 out of 9,8 out of 10,2 out of 10,0 out of 9,2 out of 10,29,20,"1000 MINERAL POINT AVE
Janesville, WI 53547
(42.686744, -89.032725)"
370215,OKLAHOMA HEART HOSPITAL,4050 WEST MEMORIAL ROAD,Oklahoma City,OK,73120,OKLAHOMA,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20,"4050 WEST MEMORIAL ROAD
Oklahoma City, OK 73120
(35.609035, -97.596201)"
450147,DETAR HOSPITAL NAVARRO,506 E SAN ANTONIO ST,Victoria,TX,77902,VICTORIA,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,8,18,"506 E SAN ANTONIO ST
Victoria, TX 77902
(28.807549, -97.00021)"
450163,CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BLVD,Kingsville,TX,78363,KLEBERG,2 out of 10,0 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,21,17,"1311 EAST GENERAL CAVAZOS BLVD
Kingsville, TX 78363
(27.491419, -97.849552)"
420070,TUOMEY HEALTHCARE SYSTEM,129 N WASHINGTON ST,Sumter,SC,29150,SUMTER,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,22,18,"129 N WASHINGTON ST
Sumter, SC 29150
(33.923461, -80.344359)"
500005,VIRGINIA MASON MEDICAL CENTER,925 SENECA ST,Seattle,WA,98101,KING,3 out of 10,0 out of 9,3 out of 10,5 out of 10,2 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,9 out of 10,9 out of 9,9 out of 10,4 out of 10,0 out of 9,4 out of 10,25,14,"925 SENECA ST
Seattle, WA 98101
(47.610235, -122.327667)"
390139,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,130 SOUTH BRYN MAWR AVE,Bryn Mawr,PA,19010,DELAWARE,7 out of 10,1 out of 9,7 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,33,19,"130 SOUTH BRYN MAWR AVE
Bryn Mawr, PA 19010
(40.018515, -75.320482)"
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,Fishersville,VA,22939,AUGUSTA,2 out of 10,4 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,7 out of 10,8 out of 9,8 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,4 out of 9,4 out of 10,34,17,"78 MEDICAL CENTER DRIVE
Fishersville, VA 22939
(38.092329, -78.988472)"
440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,Elizabethton,TN,37643,CARTER,7 out of 10,4 out of 9,7 out of 10,6 out of 10,4 out of 9,6 out of 10,8 out of 10,6 out of 9,8 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,2 out of 9,6 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,43,20,"1501 WEST ELK AVENUE
Elizabethton, TN 37643
(36.345064, -82.247664)"
380038,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,1500 DIVISION STREET,Oregon City,OR,97045,CLACKAMAS,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,7 out of 10,7 out of 9,7 out of 10,1 out of 10,2 out of 9,2 out of 10,20,19,"1500 DIVISION STREET
Oregon City, OR 97045
(45.356647, -122.588371)"
450867,SETON NORTHWEST HOSPITAL,11113 RESEARCH BOULEVARD,Austin,TX,78759,TRAVIS,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,3,17,"11113 RESEARCH BOULEVARD
Austin, TX 78759
(30.40482, -97.74501)"
420079,TRIDENT MEDICAL CENTER,9330 MEDICAL PLAZA DR,Charleston,SC,29406,CHARLESTON,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4,16,"9330 MEDICAL PLAZA DR
Charleston, SC 29406
(32.97507, -80.072414)"
390100,LANCASTER GENERAL HOSPITAL,555 NORTH DUKE STREET,Lancaster,PA,17602,LANCASTER,2 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,3 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,6 out of 10,5 out of 9,6 out of 10,4 out of 10,4 out of 9,4 out of 10,25,17,"555 NORTH DUKE STREET
Lancaster, PA 17602
(40.046975, -76.305328)"
440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,Memphis,TN,38120,SHELBY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3,14,"6019 WALNUT GROVE ROAD
Memphis, TN 38120
(35.130758, -89.861022)"
370228,"BAILEY MEDICAL CENTER, LLC",10502 NORTH 110TH EAST AVENUE,Owasso,OK,74055,TULSA,6 out of 10,0 out of 9,6 out of 10,8 out of 10,0 out of 9,8 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,57,20,"10502 NORTH 110TH EAST AVENUE
Owasso, OK 74055
(36.303122, -95.851804)"
450469,WILSON N JONES REGIONAL MEDICAL CENTER,500 N HIGHLAND AVENUE,Sherman,TX,75091,GRAYSON,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,6 out of 9,6 out of 10,0 out of 10,1 out of 9,1 out of 10,17,18,"500 N HIGHLAND AVENUE
Sherman, TX 75091
(33.63778, -96.623506)"
490021,"CENTRA  HEALTH, INC",1901 TATE SPRINGS ROAD,Lynchburg,VA,24501,LYNCHBURG CITY,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,3 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,21,19,"1901 TATE SPRINGS ROAD
Lynchburg, VA 24501
(37.416648, -79.169753)"
